Question,Answer
Who is HOD of CSE (General)?,"Dr. P. Veera Prakash is HOD-CSE (General), guiding students with excellent mentorship."
HOD of CSE,"Dr. P. Veera Prakash is HOD-CSE (General), guiding students with excellent mentorship."
CSE (General) HOD,"Dr. P. Veera Prakash is HOD-CSE (General), guiding students with excellent mentorship."
Head of CSE (General) department,"Dr. P. Veera Prakash is HOD-CSE (General), guiding students with excellent mentorship."
Who is HOD of CSE(AI & ML)?,"Dr. P. Chitralingappa is HOD-CSE(AI & ML), highly experienced and supportive for students."
HOD of CSE AI ML,"Dr. P. Chitralingappa is HOD-CSE(AI & ML), highly experienced and supportive for students."
Who heads CSE AI ML department?,"Dr. P. Chitralingappa is HOD-CSE(AI & ML), highly experienced and supportive for students."
Who is HOD of CSE(AI & DS)?,"Dr. C. Sasikala is HOD-CSE(AI & DS), highly experienced and helpful to students."
CSE AI DS HOD,"Dr. C. Sasikala is HOD-CSE(AI & DS), highly experienced and helpful to students."
Head of CSE AI DS department,"Dr. C. Sasikala is HOD-CSE(AI & DS), highly experienced and helpful to students."
Who is HOD of CIVIL?,"Dr. T. Chinna Venkata Reddy is HOD-CIVIL, with strong teaching and practical knowledge."
CIVIL HOD,"Dr. T. Chinna Venkata Reddy is HOD-CIVIL, with strong teaching and practical knowledge."
Head of CIVIL department,"Dr. T. Chinna Venkata Reddy is HOD-CIVIL, with strong teaching and practical knowledge."
Who is HOD of EEE?,"Dr. G. Meeri Matha is HOD-EEE, guiding students with excellent technical expertise."
EEE HOD,"Dr. G. Meeri Matha is HOD-EEE, guiding students with excellent technical expertise."
Head of EEE department,"Dr. G. Meeri Matha is HOD-EEE, guiding students with excellent technical expertise."
Who is HOD of MEC?,"Dr. L. Vamsi Krishna Reddy is HOD-MEC, experienced faculty with practical industry exposure."
MEC HOD,"Dr. L. Vamsi Krishna Reddy is HOD-MEC, experienced faculty with practical industry exposure."
Head of MEC department,"Dr. L. Vamsi Krishna Reddy is HOD-MEC, experienced faculty with practical industry exposure."
Who is HOD of ECE?,"Dr. M. L. Ravi Chandra is HOD-ECE, well qualified and supportive to students."
ECE HOD,"Dr. M. L. Ravi Chandra is HOD-ECE, well qualified and supportive to students."
Head of ECE department,"Dr. M. L. Ravi Chandra is HOD-ECE, well qualified and supportive to students."
What undergraduate programs are offered at SRIT?,"SRIT offers B.Tech programs in CSE, CSE(AI & ML), CSE(AI & DS), ECE, EEE, Civil, Mechanical, and IT."
What postgraduate programs are available at SRIT?,"SRIT offers M.Tech in Communication Systems, CSE, Power Systems, Construction Engineering, and an MBA program."
What is the admission process for undergraduate programs?,"Admissions to B.Tech programs are based on EAPCET ranks through APSCHE counseling."
How can I apply for postgraduate programs at SRIT?,"Admissions to M.Tech and MBA programs are based on GATE or APICET scores followed by APSCHE counseling."
Does SRIT provide hostel facilities?,"Yes, SRIT provides separate hostels for boys and girls with a capacity of 1200 students."
Tell me about the SRIT canteen,"SRIT has a clean canteen providing hygienic food, snacks, and beverages at affordable rates."
Tell me about the labs,"SRIT has modern labs for all departments, providing hands-on practical experience."
Does SRIT have transportation facilities?,"Yes, SRIT operates 29 buses covering major routes in Anantapur, Tadipatri, Dharmavaram, and Pamidi."
How can I contact SRIT?,"You can contact SRIT at +91-9515611111 or email hr@srit.ac.in for general inquiries."
How many faculty members are there at SRIT?,"SRIT employs 109 dedicated faculty members maintaining an excellent student-faculty ratio."
How many students are enrolled at SRIT?,"SRIT has around 1,539 students across UG and PG programs."
What are the timings of the college?,"SRIT classes are from 9:00 AM to 4:00 PM Monday to Friday."
Why should I join SRIT?,"SRIT offers quality education, modern infrastructure, and experienced faculty making it a great choice."
Tell me about the faculty,"SRIT has highly qualified and supportive faculty focusing on academic and practical excellence."
